regime,sigma.sq
hard,5.49E-05
hard,5.55E-05
hard,5.47E-05
hard,5.52E-05
hard,5.55E-05
hard,5.40E-05
hard,5.51E-05
hard,5.44E-05
hard,5.50E-05
hard,5.45E-05
hard,5.47E-05
hard,5.51E-05
hard,5.45E-05
hard,5.45E-05
hard,5.52E-05
hard,5.49E-05
hard,5.54E-05
hard,5.46E-05
hard,5.40E-05
hard,5.47E-05
hard,5.45E-05
hard,5.41E-05
hard,5.45E-05
hard,5.44E-05
hard,5.41E-05
hard,5.32E-05
hard,5.44E-05
hard,5.55E-05
hard,5.47E-05
hard,5.46E-05
hard,5.44E-05
hard,5.44E-05
hard,5.39E-05
hard,5.46E-05
hard,5.38E-05
hard,5.45E-05
hard,5.36E-05
hard,5.48E-05
hard,5.50E-05
hard,5.55E-05
hard,5.44E-05
hard,5.47E-05
hard,5.48E-05
hard,5.46E-05
hard,5.44E-05
hard,5.45E-05
hard,5.47E-05
hard,5.45E-05
hard,5.44E-05
hard,5.50E-05
hard,5.55E-05
hard,5.55E-05
hard,5.47E-05
hard,5.55E-05
hard,5.44E-05
hard,5.51E-05
hard,5.45E-05
hard,5.46E-05
hard,5.50E-05
hard,5.45E-05
hard,5.40E-05
hard,5.47E-05
hard,5.54E-05
hard,5.45E-05
hard,5.44E-05
hard,5.56E-05
hard,5.48E-05
hard,5.69E-05
hard,5.39E-05
hard,5.45E-05
hard,5.41E-05
hard,5.51E-05
hard,5.51E-05
hard,5.51E-05
hard,5.39E-05
hard,5.54E-05
hard,5.55E-05
hard,5.44E-05
hard,5.54E-05
hard,5.29E-05
hard,5.47E-05
hard,5.50E-05
hard,5.44E-05
hard,5.52E-05
hard,5.39E-05
hard,5.46E-05
hard,5.45E-05
hard,5.47E-05
hard,5.51E-05
hard,5.51E-05
hard,5.52E-05
hard,5.45E-05
hard,5.49E-05
hard,5.53E-05
hard,5.52E-05
hard,5.51E-05
hard,5.44E-05
hard,5.54E-05
hard,5.47E-05
hard,5.51E-05
hard,5.32E-05
hard,5.44E-05
hard,5.69E-05
hard,5.44E-05
hard,5.45E-05
hard,5.44E-05
hard,5.68E-05
hard,5.45E-05
hard,5.44E-05
hard,5.44E-05
hard,5.55E-05
hard,5.44E-05
hard,5.51E-05
hard,5.54E-05
hard,5.41E-05
hard,5.39E-05
hard,5.51E-05
hard,5.51E-05
hard,5.47E-05
hard,5.50E-05
hard,5.70E-05
hard,5.51E-05
hard,5.45E-05
hard,5.55E-05
hard,5.50E-05
hard,5.51E-05
hard,5.37E-05
hard,5.45E-05
hard,5.49E-05
hard,5.46E-05
hard,5.74E-05
hard,5.51E-05
hard,5.39E-05
hard,5.52E-05
hard,5.46E-05
hard,5.44E-05
hard,5.52E-05
hard,5.55E-05
hard,5.47E-05
hard,5.44E-05
hard,5.51E-05
hard,5.51E-05
hard,5.54E-05
hard,5.55E-05
hard,5.54E-05
hard,5.46E-05
hard,5.45E-05
hard,5.53E-05
hard,5.47E-05
hard,5.45E-05
hard,5.47E-05
hard,5.47E-05
hard,5.46E-05
hard,5.45E-05
hard,5.44E-05
hard,5.44E-05
hard,5.47E-05
