regime,sigma.sq
hard,0.000142297
hard,0.000912661
hard,0.001263388
hard,0.000108211
hard,0.001347745
hard,0.000115375
hard,0.000478299
hard,0.00011207
hard,0.00086822
hard,0.000259522
hard,0.001008874
hard,0.000209303
hard,0.000109955
hard,0.000115787
hard,0.000943396
hard,0.000119888
hard,0.000130059
hard,0.000112851
hard,0.001162626
hard,0.000110479
hard,0.000638614
hard,0.000120196
hard,0.000265006
hard,0.000108841
hard,0.000140556
hard,0.000267741
hard,0.000348442
hard,0.00012397
hard,0.000117159
hard,0.001309617
hard,0.000201104
hard,0.001056812
hard,0.000131919
hard,0.000110811
hard,0.000858803
hard,0.000110792
hard,0.000136453
hard,0.000113859
hard,0.000295185
hard,0.000928626
hard,0.000142315
hard,0.000441813
hard,0.000113448
hard,0.000130303
hard,0.000111017
hard,0.000488211
hard,0.001328249
hard,0.000114878
hard,0.000268359
hard,0.000784569
hard,0.000305689
hard,0.000112303
hard,0.00117722
hard,0.001178745
hard,0.000124171
hard,0.000117652
hard,0.000117074
hard,0.000109415
hard,0.000120395
hard,0.000570863
hard,0.000109397
hard,0.000276321
hard,0.000197085
hard,0.000158236
hard,0.000224319
hard,0.000106365
hard,0.000116425
hard,0.000936079
hard,0.00039061
hard,0.000394274
hard,0.000111214
hard,0.000610783
hard,0.0010047
hard,0.000256241
hard,0.000112752
hard,0.000138675
hard,0.001020328
hard,0.000247232
hard,0.000113904
hard,0.000111884
hard,0.000347491
hard,0.000102491
hard,0.000111353
hard,0.000267315
hard,0.000495192
hard,0.000119203
hard,0.001064588
hard,0.000130457
hard,0.000271132
hard,0.000920774
hard,0.000114102
hard,0.000107881
hard,0.000116784
hard,0.000123139
hard,0.000331849
hard,0.000108003
hard,0.000127911
hard,0.000147822
hard,0.001267286
hard,0.001287254
hard,0.000116628
hard,0.000112139
hard,0.000110657
hard,0.00043363
hard,0.000111416
hard,0.00024569
hard,0.000112064
hard,0.000126547
hard,0.000116011
hard,0.000361276
hard,0.000286759
hard,0.00051362
hard,0.00010417
hard,0.00010837
hard,0.000114626
hard,0.000121191
hard,0.000863617
hard,0.000899395
hard,0.000109616
hard,0.000183032
hard,0.001148269
hard,0.00025444
hard,0.001265978
hard,0.00040185
hard,0.0001143
hard,0.000117249
hard,0.000118671
hard,0.000136343
hard,0.001033819
hard,0.000264581
hard,0.000886869
hard,0.000140617
hard,0.001003031
hard,0.000132695
hard,0.000100427
hard,0.000708669
hard,0.000121938
hard,0.001086762
hard,0.00010885
hard,0.000526577
hard,0.000103803
hard,0.000109904
hard,0.000150844
hard,0.000121336
hard,7.00E-05
hard,0.000110305
hard,0.000109807
hard,0.000115089
hard,0.000102339
hard,0.001011103
hard,0.001310536
hard,0.000129858
hard,0.000104812
hard,0.000123109
hard,0.000831769
hard,0.000244147
