regime,sigma.sq
hard,0.00079164
hard,0.000947096
hard,0.00084932
hard,0.000965689
hard,0.000947096
hard,0.000520433
hard,0.000946172
hard,0.000946172
hard,0.000947096
hard,0.000947096
hard,0.000494558
hard,0.000816308
hard,0.000946172
hard,0.000947096
hard,0.00084932
hard,0.000880302
hard,0.000946172
hard,0.000965689
hard,0.000520433
hard,0.000526837
hard,0.000947096
hard,0.000991401
hard,0.000947096
hard,0.001035412
hard,0.000526779
hard,0.000526837
hard,0.001035412
hard,0.000947096
hard,0.000858028
hard,0.000965689
hard,0.00079164
hard,0.00079164
hard,0.000816308
hard,0.00092458
hard,0.000325764
hard,0.000947096
hard,0.00079164
hard,0.000525533
hard,0.000947096
hard,0.000947096
hard,0.000946172
hard,0.000529738
hard,0.000524315
hard,0.000537543
hard,0.001024373
hard,0.000947096
hard,0.00052406
hard,0.000816308
hard,0.00079164
hard,0.000947096
hard,0.000947096
hard,0.000946172
hard,0.000526116
hard,0.000947096
hard,0.00079164
hard,0.000947096
hard,0.000816308
hard,0.000965689
hard,0.001024373
hard,0.000816308
hard,0.000520433
hard,0.000525861
hard,0.000946172
hard,0.000947096
hard,0.001035412
hard,0.000816308
hard,0.000524315
hard,0.001036494
hard,0.00084932
hard,0.001000506
hard,0.000526779
hard,0.000947096
hard,0.000947096
hard,0.000947096
hard,0.000816308
hard,0.000948278
hard,0.000947096
hard,0.00079164
hard,0.00079164
hard,0.00079164
hard,0.000858028
hard,0.000946172
hard,0.000946172
hard,0.00092458
hard,0.00084932
hard,0.000816308
hard,0.000816308
hard,0.000526837
hard,0.000947096
hard,0.000947096
hard,0.00084932
hard,0.000947096
hard,0.001007187
hard,0.000523289
hard,0.000523289
hard,0.000947096
hard,0.001035412
hard,0.00079164
hard,0.000523917
hard,0.000816308
hard,0.000526837
hard,0.00079164
hard,0.000970316
hard,0.00079164
hard,0.000947096
hard,0.00079164
hard,0.000878923
hard,0.000947096
hard,0.001035412
hard,0.00079164
hard,0.000947096
hard,0.00079164
hard,0.000947096
hard,0.000946172
hard,0.000526779
hard,0.000816308
hard,0.000947096
hard,0.000816308
hard,0.000523917
hard,0.000946172
hard,0.00102362
hard,0.000947096
hard,0.000947096
hard,0.000946172
hard,0.001024373
hard,0.000947096
hard,0.00095265
hard,0.000947096
hard,0.00079164
hard,0.000816308
hard,0.000940683
hard,0.000946172
hard,0.000816308
hard,0.00084932
hard,0.00084932
hard,0.001035412
hard,0.00092458
hard,0.000946172
hard,0.000522573
hard,0.000946172
hard,0.000947096
hard,0.000816308
hard,0.000938593
hard,0.000946172
hard,0.00079164
hard,0.00092458
hard,0.000947096
hard,0.000528523
hard,0.000526116
hard,0.000946172
hard,0.000530449
hard,0.000858028
hard,0.000965689
hard,0.000947096
hard,0.00079164
hard,0.001035412
hard,0.000530449
hard,0.000947096
hard,0.000946172
hard,0.000537543
hard,0.000523917
hard,0.000946172
hard,0.000816308
hard,0.000524315
hard,0.000816308
hard,0.000947096
hard,0.000947096
hard,0.000947096
hard,0.000526837
hard,0.001035412
hard,0.00079164
hard,0.001007187
hard,0.000872937
hard,0.001024373
hard,0.00084932
hard,0.000526837
hard,0.001007187
hard,0.000947096
hard,0.000927362
hard,0.000965689
hard,0.000520433
hard,0.000520433
hard,0.00084932
hard,0.000831724
hard,0.00079164
hard,0.000946172
hard,0.000816308
hard,0.00132912
hard,0.000523917
hard,0.000947096
hard,0.001007187
hard,0.000816308
hard,0.000987963
hard,0.000947096
hard,0.001024373
hard,0.00079164
hard,0.00052406
hard,0.000520433
hard,0.000816308
hard,0.000494558
hard,0.001024373
hard,0.000947096
hard,0.000947096
hard,0.000816308
hard,0.000529738
hard,0.000965689
hard,0.000947096
hard,0.001007187
hard,0.000528335
hard,0.000965689
hard,0.000525861
hard,0.001024373
hard,0.000947096
hard,0.000947096
hard,0.000816308
hard,0.00079164
hard,0.001037864
hard,0.000947096
hard,0.000946172
hard,0.00079164
hard,0.00084932
hard,0.00079164
hard,0.000816308
