regime,sigma.sq
hard,0.000402256
hard,0.002074586
hard,0.00239983
hard,0.000391007
hard,0.002440226
hard,0.000360907
hard,0.000792055
hard,0.000363532
hard,0.001956265
hard,0.000467401
hard,0.001955151
hard,0.000452256
hard,0.000402839
hard,0.000364407
hard,0.002008748
hard,0.000447863
hard,0.000408825
hard,0.00037869
hard,0.002358012
hard,0.000375024
hard,0.001731527
hard,0.000370818
hard,0.000410735
hard,0.000421119
hard,0.000432768
hard,0.000408942
hard,0.000499704
hard,0.000386067
hard,0.000364838
hard,0.002243109
hard,0.00044367
hard,0.002286654
hard,0.000400035
hard,0.000364131
hard,0.002093738
hard,0.000357129
hard,0.000413125
hard,0.000367731
hard,0.000437405
hard,0.002002254
hard,0.000378281
hard,0.000716709
hard,0.000345666
hard,0.000467211
hard,0.000379364
hard,0.000933366
hard,0.002306684
hard,0.000370716
hard,0.000415349
hard,0.001807946
hard,0.00044907
hard,0.000355753
hard,0.002381796
hard,0.002529333
hard,0.00038825
hard,0.000410082
hard,0.000409304
hard,0.000383872
hard,0.000386838
hard,0.001544928
hard,0.000391437
hard,0.000413245
hard,0.000465371
hard,0.00037104
hard,0.000461787
hard,0.000354962
hard,0.000386222
hard,0.002119999
hard,0.000606974
hard,0.000551663
hard,0.000432477
hard,0.001765291
hard,0.002085156
hard,0.000436783
hard,0.000349323
hard,0.000431774
hard,0.002113925
hard,0.000438401
hard,0.000345392
hard,0.000379678
hard,0.000597823
hard,0.00036895
hard,0.000414407
hard,0.000427336
hard,0.001254987
hard,0.000423386
hard,0.00214335
hard,0.000398119
hard,0.000410699
hard,0.002241292
hard,0.000360961
hard,0.000367204
hard,0.000362795
hard,0.000417424
hard,0.000537264
hard,0.000366865
hard,0.000408937
hard,0.000415264
hard,0.002362025
hard,0.002339754
hard,0.000369146
hard,0.000356032
hard,0.000391264
hard,0.000557613
hard,0.000354501
hard,0.00036887
hard,0.000369755
hard,0.000419595
hard,0.000411838
hard,0.00053307
hard,0.000430666
hard,0.001440401
hard,0.000367311
hard,0.000348278
hard,0.0003574
hard,0.000406347
hard,0.002116227
hard,0.002166341
hard,0.000388783
hard,0.000370715
hard,0.002345173
hard,0.000383002
hard,0.002333496
hard,0.000861072
hard,0.000468337
hard,0.000374221
hard,0.000422692
hard,0.000451388
hard,0.002162554
hard,0.000399616
hard,0.002099586
hard,0.000432619
hard,0.002277686
hard,0.00040963
hard,0.000352233
hard,0.001883614
hard,0.000374531
hard,0.002359339
hard,0.000351745
hard,0.001520465
hard,0.000379969
hard,0.000414585
hard,0.000425782
hard,0.000373545
hard,0.000212478
hard,0.00036565
hard,0.000363812
hard,0.000382613
hard,0.000369722
hard,0.00219899
hard,0.002347342
hard,0.000387906
hard,0.00036365
hard,0.000364505
hard,0.002088912
hard,0.000389985
hard,0.000460509
hard,0.002002612
hard,0.002338129
hard,0.000387994
hard,0.000493695
hard,0.000383502
hard,0.000354194
hard,0.000363853
hard,0.001888858
hard,0.000406381
hard,0.000356906
hard,0.000420331
hard,0.0003605
hard,0.00037694
hard,0.000385304
hard,0.00211067
hard,0.002094314
hard,0.000379784
hard,0.00038195
hard,0.000426962
hard,0.000557093
hard,0.000387788
hard,0.001770578
hard,0.000369118
hard,0.000390394
hard,0.000395637
hard,0.00035613
hard,0.001567022
hard,0.002296438
hard,0.000365917
hard,0.002529833
hard,0.002379823
hard,0.0006491
hard,0.000405168
hard,0.000346564
hard,0.000348552
hard,0.002218134
hard,0.001049991
hard,0.000446842
hard,0.001554365
hard,0.002429667
hard,0.000446044
hard,0.00168671
hard,0.002207261
hard,0.000426258
hard,0.00200871
hard,0.00200524
hard,0.000370217
hard,0.002186715
hard,0.002384243
hard,0.00037278
hard,0.000436882
hard,0.00039065
hard,0.000761875
hard,0.00037677
hard,0.000202998
hard,0.002116079
hard,0.000552992
hard,0.002357353
hard,0.000375743
