regime,sigma.sq
hard,8.48E-05
hard,0.000222924
hard,0.000282675
hard,0.00010383
hard,0.000314856
hard,6.87E-05
hard,0.000109966
hard,9.09E-05
hard,0.000245389
hard,8.62E-05
hard,0.000264014
hard,0.000100924
hard,8.89E-05
hard,7.86E-05
hard,0.000265301
hard,0.000101316
hard,6.96E-05
hard,9.20E-05
hard,0.000308138
hard,0.000100166
hard,0.00013671
hard,7.28E-05
hard,8.18E-05
hard,9.96E-05
hard,6.70E-05
hard,8.23E-05
hard,9.33E-05
hard,7.06E-05
hard,8.52E-05
hard,0.000313475
hard,8.12E-05
hard,0.000270863
hard,6.98E-05
hard,7.25E-05
hard,0.000217772
hard,8.54E-05
hard,7.07E-05
hard,8.07E-05
hard,8.07E-05
hard,0.000253353
hard,5.85E-05
hard,0.000106625
hard,6.46E-05
hard,7.99E-05
hard,0.000102836
hard,0.000110892
hard,0.000335455
hard,7.04E-05
hard,8.28E-05
hard,0.000167145
hard,8.42E-05
hard,7.85E-05
hard,0.000311637
hard,0.000311098
hard,7.31E-05
hard,7.47E-05
hard,0.000101738
hard,9.69E-05
hard,8.52E-05
hard,0.000125239
hard,7.90E-05
hard,8.70E-05
hard,8.71E-05
hard,7.14E-05
hard,8.58E-05
hard,9.56E-05
hard,0.000105918
hard,0.000275087
hard,8.32E-05
hard,0.000102046
hard,8.25E-05
hard,0.000121326
hard,0.000259949
hard,0.0001007
hard,6.63E-05
hard,6.95E-05
hard,0.000276518
hard,0.000102664
hard,6.98E-05
hard,9.04E-05
hard,9.94E-05
hard,0.000103804
hard,0.000102375
hard,8.59E-05
hard,0.000113025
hard,0.00010197
hard,0.000286467
hard,8.72E-05
hard,8.32E-05
hard,0.000202956
hard,7.12E-05
hard,8.86E-05
hard,8.64E-05
hard,6.77E-05
hard,9.83E-05
hard,9.70E-05
hard,8.56E-05
hard,6.47E-05
hard,0.000328823
hard,0.000333478
hard,8.16E-05
hard,7.64E-05
hard,8.69E-05
hard,0.000103185
hard,7.51E-05
hard,7.49E-05
hard,8.74E-05
hard,7.75E-05
hard,8.69E-05
