regime,theta,se
hard,0.033657903,0.00553342
hard,0.033657054,0.005524994
hard,0.033636695,0.005583088
hard,0.033643704,0.00555895
hard,0.033656861,0.00552526
hard,0.033618505,0.005634213
hard,0.033655008,0.005536698
hard,0.033645927,0.005566582
hard,0.033650868,0.005545293
hard,0.03363962,0.005578579
hard,0.033633294,0.005590514
hard,0.033647451,0.005552202
hard,0.033645035,0.00556846
hard,0.033639847,0.005577925
hard,0.03364621,0.00555335
hard,0.033624938,0.005540808
hard,0.033661471,0.005517761
hard,0.033634225,0.005588997
hard,0.033618542,0.005634131
hard,0.033631598,0.005592788
hard,0.033639069,0.005580241
hard,0.033615006,0.005641566
hard,0.03364168,0.005575402
hard,0.033648138,0.005562253
hard,0.033614626,0.005642409
hard,0.033600135,0.005690971
hard,0.033648467,0.005561609
hard,0.033656844,0.005525294
hard,0.033629455,0.005597737
hard,0.033634274,0.005588894
hard,0.033650245,0.005560604
hard,0.033648416,0.005563318
hard,0.033623465,0.005625174
hard,0.033633109,0.005590386
hard,0.033657232,0.005572721
hard,0.03363958,0.00557866
hard,0.033635891,0.005602171
hard,0.033629517,0.005596344
hard,0.033647562,0.005552228
hard,0.033657442,0.005524314
hard,0.033646001,0.005566436
hard,0.033632618,0.00559117
hard,0.033629336,0.005596734
hard,0.033632673,0.005591276
hard,0.033646092,0.005567263
hard,0.033642274,0.005572469
hard,0.033633448,0.005590189
hard,0.033637595,0.005581955
hard,0.03365024,0.005560615
hard,0.033650856,0.005545317
hard,0.03365677,0.00552544
hard,0.033661004,0.005517161
hard,0.033630575,0.005594004
hard,0.033657205,0.005524676
hard,0.033649668,0.005560663
hard,0.033652984,0.005540345
hard,0.033637613,0.005581917
hard,0.033634373,0.005588686
hard,0.033656633,0.005534556
hard,0.033638026,0.005581065
hard,0.033618478,0.005634272
hard,0.033636648,0.005583187
hard,0.033661459,0.005517783
hard,0.033642543,0.005571842
hard,0.033648283,0.005561968
hard,0.033653449,0.005530063
hard,0.033629242,0.005596939
hard,0.033528522,0.005771389
hard,0.033623908,0.00562325
hard,0.033718801,0.005557343
hard,0.033614769,0.005642091
hard,0.033647233,0.005552985
hard,0.033652981,0.005540351
hard,0.033652812,0.005541669
hard,0.033623384,0.005625348
hard,0.033625975,0.005589788
hard,0.033656666,0.005525645
hard,0.033649673,0.005560654
hard,0.033666149,0.005509295
hard,0.033622069,0.005648127
hard,0.033629113,0.005598475
hard,0.03365489,0.005537153
hard,0.033645358,0.005568668
hard,0.033643737,0.005557837
hard,0.033623389,0.005623694
hard,0.033636735,0.005583622
hard,0.033637589,0.005581642
hard,0.033630683,0.005593772
