regime,theta,se
hard,-0.165319381,0.014090787
hard,-0.165360834,0.014108604
hard,-0.165792365,0.014273642
hard,-0.165131388,0.014020549
hard,-0.165528351,0.014168802
hard,-0.174907687,0.015233387
hard,-0.164934655,0.013944459
hard,-0.164873885,0.013922944
hard,-0.164865425,0.013920312
hard,-0.164886459,0.013926959
hard,-0.165737276,0.01424893
hard,-0.164991718,0.013967897
hard,-0.16545181,0.014146447
hard,-0.164853735,0.013915874
hard,-0.164780109,0.013888256
hard,-0.164994348,0.01396836
hard,-0.165546336,0.014176999
hard,-0.165064873,0.013996796
hard,-0.165853842,0.014292201
hard,-0.165075825,0.013998993
hard,-0.165409199,0.014127747
hard,-0.165975058,0.014341656
hard,-0.1657166,0.014244391
hard,-0.164798394,0.013895972
hard,-0.165330815,0.014092198
hard,-0.165495726,0.014158431
hard,-0.164812249,0.013899225
hard,-0.164906048,0.013935288
hard,-0.165289698,0.014081546
hard,-0.165930715,0.014323738
hard,-0.164887013,0.013928263
hard,-0.165165706,0.014029985
hard,-0.164977809,0.013962298
hard,-0.16516318,0.014034439
hard,-0.164817077,0.013902157
hard,-0.165607004,0.014202043
hard,-0.164819338,0.013906018
hard,-0.16498921,0.013967455
hard,-0.165132922,0.014021048
hard,-0.164956544,0.013955063
hard,-0.164927164,0.013940278
hard,-0.165966735,0.014338716
hard,-0.165667448,0.014223541
hard,-0.165040356,0.013984568
hard,-0.165376744,0.01411204
hard,-0.164951982,0.013948516
hard,-0.165707124,0.014240345
hard,-0.165636664,0.014211516
hard,-0.165621742,0.01420424
hard,-0.165542148,0.014176092
hard,-0.165321535,0.014090698
hard,-0.164907212,0.013935493
hard,-0.165962891,0.014338013
hard,-0.174513257,0.015110836
hard,-0.16516835,0.014035356
hard,-0.165434912,0.014134651
hard,-0.165054484,0.013991708
hard,-0.164817734,0.013901952
hard,-0.165780317,0.014266191
hard,-0.165917692,0.014320688
hard,-0.164932307,0.013943728
hard,-0.165749033,0.014255908
hard,-0.165029921,0.01398233
hard,-0.162534896,0.013540792
hard,-0.165382187,0.01411689
hard,-0.164914045,0.01393873
hard,-0.165356516,0.014106728
hard,-0.165735503,0.014251712
hard,-0.16497572,0.013962266
hard,-0.164991738,0.013969324
hard,-0.165854195,0.014292266
hard,-0.174520981,0.014451512
hard,-0.165111362,0.014011606
hard,-0.165383503,0.014117125
hard,-0.164804093,0.013892816
hard,-0.165301256,0.014083938
hard,-0.165778447,0.014265852
hard,-0.165481559,0.014155975
hard,-0.165113486,0.014010894
hard,-0.165582729,0.014191651
hard,-0.165418522,0.014130854
hard,-0.164862726,0.013917456
hard,-0.165458534,0.014145384
hard,-0.165754026,0.014258221
hard,-0.165267062,0.014070347
hard,-0.165096688,0.014007022
hard,-0.165068615,0.01399558
hard,-0.165880007,0.014305002
hard,-0.164949121,0.013948013
hard,-0.16531809,0.014090441
hard,-0.165348652,0.014106954
hard,-0.165836096,0.014285366
hard,-0.164937744,0.013949161
hard,-0.164819345,0.01390602
hard,-0.165927657,0.01432306
hard,-0.165013872,0.013976832
hard,-0.165055366,0.013991864
hard,-0.164988547,0.013967338
hard,-0.16503974,0.013984459
hard,-0.164743361,0.014155586
hard,-0.16575924,0.01425883
hard,-0.165284471,0.014079623
hard,-0.165922829,0.014319844
hard,-0.16481801,0.013902
hard,-0.165803763,0.014273453
hard,-0.164985216,0.013963441
hard,-0.165209775,0.014048818
hard,-0.16528179,0.014077661
hard,-0.16512524,0.014017746
hard,-0.165836544,0.014285447
hard,-0.16503236,0.013982607
hard,-0.165386526,0.014118313
hard,-0.16588727,0.014310197
hard,-0.165042096,0.013984875
hard,-0.164829657,0.013907513
hard,-0.164979647,0.013962622
hard,-0.164855585,0.013916161
hard,-0.165408673,0.014122496
hard,-0.16569499,0.014234917
hard,-0.164921866,0.013940132
hard,-0.165707939,0.014240492
hard,-0.165954471,0.014331148
hard,-0.165089973,0.014001778
hard,-0.165128072,0.014018247
hard,-0.165836887,0.01428551
hard,-0.165256241,0.014064729
hard,-0.165431638,0.014134064
hard,-0.16526877,0.014069305
hard,-0.165015207,0.013975639
hard,-0.165785396,0.014267353
hard,-0.165714975,0.014244019
hard,-0.165489612,0.014157333
hard,-0.175552812,0.015519815
hard,-0.165174003,0.014037001
hard,-0.16566337,0.014221961
hard,-0.165015317,0.013975658
hard,-0.165442359,0.014135986
hard,-0.165624284,0.014204699
hard,-0.165466894,0.014144642
hard,-0.165521007,0.01416803
hard,-0.164923994,0.013940506
hard,-0.165149961,0.014026306
hard,-0.165386786,0.014118359
hard,-0.16514988,0.014027007
hard,-0.165491514,0.014157674
hard,-0.164966516,0.013956661
hard,-0.165084065,0.013954818
hard,-0.165521226,0.01416778
hard,-0.165482235,0.014153884
hard,-0.165921486,0.014319598
hard,-0.175284992,0.015499228
hard,-0.165865712,0.014302089
hard,-0.165781667,0.014268691
hard,-0.165147423,0.014023671
hard,-0.165221231,0.014051888
hard,-0.165166447,0.014035018
hard,-0.165764057,0.014261265
hard,-0.164847327,0.013913395
hard,-0.164795622,0.013893736
hard,-0.164987988,0.013964437
hard,-0.165056962,0.01399228
hard,-0.165079975,0.013998422
