regime,theta,se
hard,-0.472937495,0.038436724
hard,-0.425840553,0.030706407
hard,-0.413894586,0.027365585
hard,-0.492450492,0.039155468
hard,-0.414862923,0.029592233
hard,-0.493355382,0.043221229
hard,-0.42980618,0.026691662
hard,-0.488803986,0.038867642
hard,-0.41830685,0.027613309
hard,-0.446071434,0.030756054
hard,-0.428534789,0.033987118
hard,-0.460987543,0.036140283
hard,-0.489385619,0.036483402
hard,-0.488000377,0.040150862
hard,-0.423135341,0.028373837
hard,-0.502459053,0.038036507
hard,-0.491647641,0.038730345
hard,-0.494113748,0.040385422
hard,-0.418938983,0.029664553
hard,-0.485270466,0.038519954
hard,-0.430747326,0.02852353
hard,-0.495420651,0.04256899
hard,-0.443286067,0.028740328
hard,-0.498535007,0.039441704
hard,-0.500339371,0.039406714
hard,-0.446038583,0.029406716
hard,-0.439867599,0.030510831
hard,-0.488335795,0.037040893
hard,-0.488416376,0.039059952
hard,-0.408058036,0.027018948
hard,-0.463684053,0.038354021
hard,-0.422890393,0.027033699
hard,-0.495045025,0.043182747
hard,-0.501306077,0.044039828
hard,-0.432881413,0.031597122
hard,-0.48990721,0.039623836
hard,-0.497663366,0.040719411
hard,-0.496790943,0.042820216
hard,-0.441174677,0.030856668
hard,-0.418733183,0.027719946
hard,-0.486124342,0.03928344
hard,-0.438863775,0.030596905
hard,-0.483342185,0.039969937
hard,-0.504820669,0.040093988
hard,-0.481033126,0.037075146
hard,-0.437925998,0.029879519
hard,-0.423916398,0.039226611
hard,-0.482391965,0.040049717
hard,-0.442672449,0.028906662
hard,-0.436479434,0.032595366
hard,-0.446374607,0.029337179
hard,-0.490716015,0.040351761
hard,-0.431943375,0.037497511
hard,-0.423171482,0.02977615
hard,-0.497354673,0.039400524
hard,-0.49719125,0.038863117
hard,-0.49162972,0.039928702
hard,-0.493469369,0.040648262
hard,-0.499745877,0.044334416
hard,-0.431047649,0.028529959
hard,-0.487441132,0.036127521
hard,-0.442253727,0.032322691
hard,-0.459472424,0.0380667
hard,-0.476107168,0.039346102
hard,-0.462597861,0.038261396
hard,-0.484113519,0.037055041
hard,-0.47948453,0.036766166
hard,-0.449093299,0.036360198
hard,-0.443628736,0.036155891
hard,-0.441969178,0.031250597
hard,-0.497990743,0.038516521
hard,-0.435161281,0.029545686
hard,-0.4246801,0.030443319
hard,-0.449604513,0.032196659
