regime,theta,se
hard,0.73073745,0.009650223
hard,0.73081366,0.009518017
hard,0.730767144,0.009589853
hard,0.730822166,0.009502897
hard,0.73081366,0.009518017
hard,0.730630241,0.010167495
hard,0.730813533,0.009514996
hard,0.730813533,0.009514996
hard,0.730813661,0.009518017
hard,0.73081366,0.009518017
hard,0.730630421,0.00998075
hard,0.730750549,0.00961853
hard,0.730813533,0.009514996
hard,0.73081366,0.009518017
hard,0.730767144,0.009589853
hard,0.730779774,0.009564397
hard,0.730813533,0.009514996
hard,0.730822166,0.009502897
hard,0.730630266,0.010167494
hard,0.730637101,0.009804755
hard,0.73081366,0.009518017
hard,0.730833108,0.009488704
hard,0.730813661,0.009518017
hard,0.73085075,0.009467861
hard,0.730627812,0.010161135
hard,0.730636977,0.009804763
hard,0.73085075,0.009467861
hard,0.73081366,0.009518017
hard,0.730771331,0.009584264
hard,0.730822166,0.009502897
hard,0.730737455,0.009650222
hard,0.73073745,0.009650223
hard,0.730750543,0.00961853
hard,0.730803487,0.009531846
hard,0.730183714,0.011816893
hard,0.73081366,0.009518017
hard,0.730737451,0.009650223
hard,0.730628506,0.01015926
hard,0.73081366,0.009518017
hard,0.730813661,0.009518017
hard,0.730813533,0.009514996
hard,0.730632677,0.01014515
hard,0.730628262,0.010153201
hard,0.730633002,0.010211147
hard,0.730846438,0.009472914
hard,0.730813661,0.009518017
hard,0.730632474,0.010142688
hard,0.730750547,0.00961853
hard,0.730737455,0.009650222
hard,0.730813661,0.009518017
hard,0.73081366,0.009518017
hard,0.730813533,0.009514996
hard,0.730629986,0.010144602
hard,0.73081366,0.009518017
hard,0.730737452,0.009650223
hard,0.730813661,0.009518017
hard,0.730750547,0.00961853
hard,0.730822166,0.009502897
hard,0.730846438,0.009472914
hard,0.730750548,0.00961853
hard,0.730630222,0.010167497
hard,0.730634686,0.010134208
hard,0.730813533,0.009514996
hard,0.730813661,0.009518017
hard,0.73085075,0.009467861
hard,0.730750542,0.009618531
hard,0.730628194,0.010153206
hard,0.730851019,0.009466263
hard,0.730767145,0.009589852
hard,0.730836498,0.009485148
hard,0.730627909,0.010161129
hard,0.73081366,0.009518017
hard,0.730813661,0.009518017
hard,0.730813661,0.009518017
hard,0.730750543,0.00961853
hard,0.730814122,0.009517933
hard,0.73081366,0.009518017
hard,0.730737452,0.009650223
hard,0.730737453,0.009650222
hard,0.730737455,0.009650222
hard,0.73077133,0.009584264
hard,0.730813533,0.009514996
hard,0.730813533,0.009514996
hard,0.730803487,0.009531846
hard,0.730767145,0.009589852
hard,0.730750543,0.00961853
hard,0.730750547,0.00961853
hard,0.730636755,0.009804777
hard,0.73081366,0.009518017
hard,0.730813661,0.009518017
hard,0.730767144,0.009589853
hard,0.730813661,0.009518017
hard,0.730839481,0.009482226
hard,0.730628963,0.010159889
hard,0.730628816,0.010159899
hard,0.73081366,0.009518017
hard,0.73085075,0.009467861
hard,0.730737454,0.009650222
hard,0.73062829,0.010161103
hard,0.730750549,0.00961853
hard,0.730636963,0.009804764
hard,0.730737455,0.009650222
hard,0.730823498,0.009502577
hard,0.730737449,0.009650223
hard,0.73081366,0.009518017
hard,0.730737449,0.009650223
hard,0.730779975,0.009567654
hard,0.73081366,0.009518017
hard,0.73085075,0.009467861
hard,0.730737452,0.009650223
hard,0.730813661,0.009518017
hard,0.73073745,0.009650223
hard,0.73081366,0.009518017
hard,0.730813533,0.009514996
hard,0.730627873,0.010161131
hard,0.730750543,0.00961853
hard,0.73081366,0.009518017
hard,0.730750549,0.00961853
hard,0.730628357,0.010161098
hard,0.730813533,0.009514996
