regime,theta,se
hard,-0.942111876,0.011850781
hard,-0.942111886,0.011850779
hard,-0.942111882,0.01185078
hard,-0.942111873,0.011850781
hard,-0.942111876,0.011850781
hard,-0.942111875,0.011850781
hard,-0.942111884,0.01185078
hard,-0.942111878,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111886,0.011850779
hard,-0.94211188,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111884,0.011850779
hard,-0.942111875,0.011850781
hard,-0.94211188,0.01185078
hard,-0.942111876,0.011850781
hard,-0.942111886,0.011850779
hard,-0.942111877,0.011850781
hard,-0.942111883,0.01185078
hard,-0.942111876,0.011850781
hard,-0.942111881,0.01185078
hard,-0.94211188,0.01185078
hard,-0.942111881,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111885,0.011850779
hard,-0.942111881,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111886,0.011850779
hard,-0.942111884,0.01185078
hard,-0.942111883,0.01185078
hard,-0.942111875,0.011850781
hard,-0.942111885,0.011850779
hard,-0.94211188,0.01185078
hard,-0.942111884,0.011850779
hard,-0.942111883,0.01185078
hard,-0.942111406,0.011850842
hard,-0.942111881,0.01185078
hard,-0.942111882,0.01185078
hard,-0.942111884,0.011850779
hard,-0.942111885,0.011850779
hard,-0.942111885,0.011850779
hard,-0.942111886,0.011850779
hard,-0.942111879,0.01185078
hard,-0.942111886,0.011850779
hard,-0.94211188,0.01185078
hard,-0.942111885,0.011850779
hard,-0.942111878,0.01185078
hard,-0.942111887,0.011850779
hard,-0.942111886,0.011850779
hard,-0.942111886,0.011850779
hard,-0.942111887,0.011850779
hard,-0.942111875,0.011850781
hard,-0.942111886,0.011850779
hard,-0.942111885,0.011850779
hard,-0.942111875,0.011850781
hard,-0.94211188,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111885,0.011850779
hard,-0.942111884,0.011850779
hard,-0.942111877,0.011850781
hard,-0.942111882,0.01185078
hard,-0.942111877,0.01185078
hard,-0.942111885,0.011850779
hard,-0.942111878,0.01185078
hard,-0.942111878,0.01185078
hard,-0.942111877,0.01185078
hard,-0.942111787,0.011850792
hard,-0.942111883,0.01185078
hard,-0.942111877,0.01185078
hard,-0.942111882,0.01185078
hard,-0.942111883,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111886,0.011850779
hard,-0.942111884,0.01185078
hard,-0.942111883,0.01185078
hard,-0.942111886,0.011850779
hard,-0.94211188,0.01185078
hard,-0.942111885,0.011850779
hard,-0.942111885,0.011850779
hard,-0.942111883,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111884,0.011850779
hard,-0.942111886,0.011850779
hard,-0.942111881,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111877,0.01185078
hard,-0.942111879,0.01185078
hard,-0.942111883,0.01185078
hard,-0.942111882,0.01185078
hard,-0.942111869,0.011850782
hard,-0.942111874,0.011850781
hard,-0.942111877,0.01185078
hard,-0.942111887,0.011850779
hard,-0.942111885,0.011850779
hard,-0.942111885,0.011850779
hard,-0.942103065,0.011830368
hard,-0.942111881,0.01185078
hard,-0.942111881,0.01185078
hard,-0.942111883,0.01185078
hard,-0.942111883,0.01185078
hard,-0.942112814,0.011856816
hard,-0.942096156,0.011809722
hard,-0.942111882,0.01185078
hard,-0.942111885,0.011850779
hard,-0.942111887,0.011850779
hard,-0.942111878,0.01185078
hard,-0.942111881,0.01185078
hard,-0.942111882,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111875,0.011850781
hard,-0.94211188,0.01185078
hard,-0.942111883,0.01185078
hard,-0.942111883,0.01185078
hard,-0.942111878,0.01185078
hard,-0.942111884,0.011850779
hard,-0.942111885,0.011850779
hard,-0.942111886,0.011850779
hard,-0.942111876,0.011850781
hard,-0.94211188,0.01185078
hard,-0.942111884,0.01185078
hard,-0.942111882,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111885,0.011850779
hard,-0.942111886,0.011850779
hard,-0.942111876,0.011850781
hard,-0.942111886,0.011850779
hard,-0.942103686,0.011829931
hard,-0.942111883,0.01185078
hard,-0.94211188,0.01185078
hard,-0.942111883,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111883,0.01185078
hard,-0.942111881,0.01185078
hard,-0.942111881,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111886,0.011850779
hard,-0.942111883,0.01185078
hard,-0.942111885,0.011850779
hard,-0.942111883,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111877,0.01185078
hard,-0.942111885,0.011850779
hard,-0.942111885,0.011850779
hard,-0.94211188,0.01185078
hard,-0.942111886,0.011850779
hard,-0.942111874,0.011850781
hard,-0.942111885,0.011850779
hard,-0.942111874,0.011850781
hard,-0.94211188,0.01185078
hard,-0.942111885,0.011850779
hard,-0.942111879,0.01185078
hard,-0.942111885,0.011850779
hard,-0.942111885,0.011850779
hard,-0.942111879,0.01185078
