regime,theta,se
hard,-0.189660273,0.046198728
hard,-0.25701223,0.035143148
hard,-0.274487766,0.027118127
hard,-0.197727598,0.046059491
hard,-0.273774093,0.032794789
hard,-0.156005741,0.053772466
hard,-0.259378942,0.026471676
hard,-0.187553226,0.046579929
hard,-0.266778842,0.030089068
hard,-0.23369276,0.036065513
hard,-0.225406051,0.040250454
hard,-0.21148201,0.043879657
hard,-0.218562042,0.041423956
hard,-0.178239176,0.048019493
hard,-0.262425656,0.031120878
hard,-0.212430401,0.05008512
hard,-0.220465531,0.046584913
hard,-0.184727914,0.049184254
hard,-0.270544425,0.032911852
hard,-0.202751905,0.044509526
hard,-0.254488309,0.031041282
hard,-0.162974953,0.054378815
hard,-0.242128345,0.03149085
hard,-0.209166844,0.046890206
hard,-0.223241154,0.053267349
hard,-0.23686309,0.033346839
hard,-0.241459911,0.035046334
hard,-0.222369765,0.044327533
hard,-0.185237882,0.047814814
hard,-0.276198832,0.026800077
hard,-0.192688317,0.049099133
hard,-0.268573089,0.027056399
hard,-0.172453315,0.052498843
hard,-0.161054429,0.054504246
hard,-0.250749942,0.036936288
hard,-0.180998981,0.047640599
hard,-0.198315129,0.050818787
hard,-0.166430349,0.052948419
hard,-0.225479885,0.03785588
hard,-0.265647831,0.030017273
hard,-0.204583576,0.048163911
hard,-0.246070041,0.035350097
hard,-0.163551635,0.049264153
hard,-0.221221856,0.053780972
hard,-0.206401376,0.041682559
hard,-0.250271092,0.034133529
hard,-0.242749274,0.048145835
hard,-0.172955582,0.051008251
hard,-0.242322569,0.031930575
hard,-0.235549933,0.037789352
hard,-0.24325169,0.03369765
hard,-0.175488817,0.048779817
hard,-0.241442737,0.046566893
hard,-0.268842961,0.033314734
hard,-0.189849614,0.050063395
hard,-0.213918665,0.047450869
hard,-0.206382759,0.048705084
hard,-0.191014264,0.048101659
hard,-0.171677234,0.056595832
hard,-0.253187925,0.031173018
hard,-0.223283147,0.041043199
hard,-0.206398908,0.03608308
hard,-0.197300328,0.047623844
hard,-0.177652769,0.049730336
hard,-0.196275849,0.048931103
hard,-0.198344769,0.042252829
hard,-0.213597931,0.042821279
hard,-0.239247281,0.042693851
hard,-0.219108773,0.047301415
hard,-0.23688751,0.036429495
hard,-0.217950918,0.045820434
hard,-0.254936233,0.034062275
hard,-0.255111279,0.034526051
hard,-0.236468264,0.036891603
hard,-0.163265003,0.050180108
hard,-0.225250458,0.050538261
hard,-0.267422693,0.030647189
hard,-0.225471814,0.038125899
hard,-0.17707763,0.046373241
hard,-0.176104206,0.0515635
hard,-0.263053952,0.026878299
hard,-0.201603399,0.042619621
hard,-0.203593898,0.046526452
hard,-0.247393,0.03013815
hard,-0.242501838,0.035446262
hard,-0.207073839,0.045690252
hard,-0.265820908,0.030674091
hard,-0.218014117,0.040650557
hard,-0.233422175,0.034323182
hard,-0.268363148,0.033660811
hard,-0.155945786,0.054460585
hard,-0.183717773,0.047795531
hard,-0.185922587,0.045830701
hard,-0.239399394,0.043393397
hard,-0.251950719,0.030957444
hard,-0.193787524,0.046903044
hard,-0.179955465,0.053944229
hard,-0.218992851,0.054548202
hard,-0.272252444,0.034377623
hard,-0.278307681,0.032832198
hard,-0.169654094,0.052557311
hard,-0.167365856,0.051582782
hard,-0.224449791,0.038766554
hard,-0.245815812,0.032272432
hard,-0.175662604,0.04821717
hard,-0.223610032,0.035602688
hard,-0.175809285,0.050536717
hard,-0.207024149,0.048405497
hard,-0.19887167,0.048935381
hard,-0.238749989,0.035640254
hard,-0.242575952,0.031909728
hard,-0.251357876,0.034100563
hard,-0.197853708,0.043534378
hard,-0.184740966,0.045521209
hard,-0.171311086,0.05058819
hard,-0.19090981,0.051453574
hard,-0.257702332,0.031522923
hard,-0.253723679,0.035843184
hard,-0.197137094,0.046313945
hard,-0.215486952,0.039585624
hard,-0.258313124,0.036009116
hard,-0.233660592,0.032999264
hard,-0.263973044,0.039302824
hard,-0.249932984,0.03193472
hard,-0.213299012,0.05340884
hard,-0.168278016,0.053712105
hard,-0.221481434,0.044552002
hard,-0.195708568,0.058059312
hard,-0.239383894,0.040446735
hard,-0.225657374,0.03673921
hard,-0.236895645,0.044063083
hard,-0.256737116,0.037846677
hard,-0.257131418,0.036083619
hard,-0.221391937,0.042556912
hard,-0.205606368,0.039808908
hard,-0.25887481,0.035615311
hard,-0.163840655,0.05266699
hard,-0.247825603,0.042983711
hard,-0.186707607,0.045299086
hard,-0.244845061,0.035917121
hard,-0.206155645,0.042148404
hard,-0.203656563,0.047107488
hard,-0.241451306,0.048682091
hard,-0.164200656,0.054037607
hard,-0.153620753,0.063929646
hard,-0.178233084,0.049038196
hard,-0.188615053,0.045835863
hard,-0.222750875,0.040532636
