Species,Input,Output,Coupler,KT,diet,type,loginput,logoutput,logcoupler,logkt
Anampses_caeruleopunctatus,0.37,0.64,0.64,0.47,invert,soft,-0.431798276,-0.193820026,-0.193820026,-0.327902142
Anampses_geographicus,0.29,0.52,0.67,0.55,invert,soft,-0.537602002,-0.283996656,-0.173925197,-0.259637311
Anampses_meleagrides,0.34,0.6,0.64,0.54,invert,soft,-0.468521083,-0.22184875,-0.193820026,-0.26760624
Anampses_neoguinaicus,0.31,0.58,0.57,0.47,invert,soft,-0.508638306,-0.236572006,-0.244125144,-0.327902142
Bodianus_mesothorax,0.44,0.56,0.38,0.75,mollusc,hard,-0.356547324,-0.251811973,-0.420216403,-0.124938737
Bodianus_perditio,0.4,0.62,0.39,0.62,mollusc,hard,-0.397940009,-0.207608311,-0.408935393,-0.207608311
Cheilinus_chlorourus,0.43,0.48,0.48,0.92,invert,soft,-0.366531544,-0.318758763,-0.318758763,-0.036212173
Cheilinus_fasciatus,0.42,0.56,0.5,0.75,mollusc,hard,-0.37675071,-0.251811973,-0.301029996,-0.124938737
Cheilinus_oxycephalus,0.5,0.47,0.47,1.17,invert,soft,-0.301029996,-0.327902142,-0.327902142,0.068185862
Cheilinus_trilobatus,0.39,0.51,0.48,0.79,invert,soft,-0.408935393,-0.292429824,-0.318758763,-0.102372909
Cheilinus_undulatus,0.37,0.5,0.61,0.75,invert,soft,-0.431798276,-0.301029996,-0.214670165,-0.124938737
Cheilio_inermis,0.43,0.59,0.92,0.65,fish,soft,-0.366531544,-0.229147988,-0.036212173,-0.187086643
Choerodon_anchorago,0.31,0.53,0.48,0.59,molllusc,hard,-0.508638306,-0.27572413,-0.318758763,-0.229147988
Choerodon_cephalotes,0.31,0.56,0.57,0.54,mollusc,hard,-0.508638306,-0.251811973,-0.244125144,-0.26760624
Choerodon_fasciatus,0.37,0.49,0.43,0.8,mollusc,hard,-0.431798276,-0.30980392,-0.366531544,-0.096910013
Choerodon_schoenleinii,0.34,0.51,0.52,0.66,mollusc,hard,-0.468521083,-0.292429824,-0.283996656,-0.180456064
Choerodon_venustus,0.3,0.57,0.58,0.53,mollusc,hard,-0.522878745,-0.244125144,-0.236572006,-0.27572413
Clepticus_parrae,0.68,0.36,0.61,1.95,zooplankton,soft,-0.167491087,-0.443697499,-0.214670165,0.290034611
Coris_aurilineata,0.38,0.55,0.52,0.69,invert,soft,-0.420216403,-0.259637311,-0.283996656,-0.161150909
Coris_aygula,0.38,0.59,0.49,0.64,mollusc,hard,-0.420216403,-0.229147988,-0.30980392,-0.193820026
Coris_batuensis,0.36,0.51,0.47,0.67,invert,soft,-0.443697499,-0.292429824,-0.327902142,-0.173925197
Coris_dorsomacula,0.44,0.52,0.51,0.84,invert,soft,-0.356547324,-0.283996656,-0.292429824,-0.075720714
Coris_gaimard,0.4,0.5,0.5,0.81,invert,soft,-0.397940009,-0.301029996,-0.301029996,-0.091514981
Coris_pictoides,0.43,0.61,0.51,0.69,invert,soft,-0.366531544,-0.214670165,-0.292429824,-0.161150909
Cymolutes_praetextatus,0.4,0.38,0.55,1.26,invert,soft,-0.397940009,-0.420216403,-0.259637311,0.100370545
Cymolutes_torquatus,0.41,0.4,0.52,1.03,invert,soft,-0.387216143,-0.397940009,-0.283996656,0.012837225
Diproctacanthus_xanthurus,0.4,0.53,0.59,0.76,coral mucos,soft,-0.397940009,-0.27572413,-0.229147988,-0.119186408
Gomphosus_varius,0.49,0.45,0.58,1.15,invert,soft,-0.30980392,-0.346787486,-0.236572006,0.06069784
Halichoeres_biocellatus,0.36,0.47,0.57,0.83,invert,soft,-0.443697499,-0.327902142,-0.244125144,-0.080921908
Halichoeres_chloropterus,0.4,0.53,0.48,0.73,invert,soft,-0.397940009,-0.27572413,-0.318758763,-0.13667714
Halichoeres_chrysus,0.41,0.54,0.58,0.73,invert,soft,-0.387216143,-0.26760624,-0.236572006,-0.13667714
Halichoeres_garnoti,0.38,0.49,0.58,0.78,invert,soft,-0.420216403,-0.30980392,-0.236572006,-0.107905397
Halichoeres_hortulanus,0.39,0.43,0.55,0.97,invert,soft,-0.408935393,-0.366531544,-0.259637311,-0.013228266
Halichoeres_maculipinna,0.32,0.49,0.57,0.88,invert,soft,-0.494850022,-0.30980392,-0.244125144,-0.055517328
Halichoeres_margaritaceus,0.36,0.51,0.5,0.71,invert,soft,-0.443697499,-0.292429824,-0.301029996,-0.148741651
Halichoeres_marginatus,0.33,0.43,0.58,0.85,invert,soft,-0.48148606,-0.366531544,-0.236572006,-0.070581074
Halichoeres_melanurus,0.38,0.48,0.53,0.8,invert,soft,-0.420216403,-0.318758763,-0.27572413,-0.096910013
Halichoeres_melasmapomus,0.45,0.49,0.52,0.9,invert,soft,-0.346787486,-0.30980392,-0.283996656,-0.045757491
Halichoeres_miniatus,0.42,0.53,0.48,0.79,invert,soft,-0.37675071,-0.27572413,-0.318758763,-0.102372909
Halichoeres_nebulosus,0.38,0.6,0.44,0.63,invert,soft,-0.420216403,-0.22184875,-0.356547324,-0.200659451
Halichoeres_nigrescens,0.42,0.47,0.51,0.9,invert,soft,-0.37675071,-0.327902142,-0.292429824,-0.045757491
Halichoeres_ornatissimus,0.4,0.49,0.58,0.85,invert,soft,-0.397940009,-0.30980392,-0.236572006,-0.070581074
Halichoeres_pictus,0.5,0.43,0.61,1.2,zooplankton,soft,-0.301029996,-0.366531544,-0.214670165,0.079181246
Halichoeres_poeyi,0.39,0.46,0.58,0.84,invert,soft,-0.408935393,-0.337242168,-0.236572006,-0.075720714
Halichoeres_prosopeion,0.42,0.54,0.54,0.81,invert,soft,-0.37675071,-0.26760624,-0.26760624,-0.091514981
Halichoeres_scapularis,0.42,0.48,0.53,0.9,invert,soft,-0.37675071,-0.318758763,-0.27572413,-0.045757491
Halichoeres_trimaculatus,0.41,0.49,0.53,0.86,invert,soft,-0.387216143,-0.30980392,-0.27572413,-0.065501549
Hemigymnus_melapterus,0.33,0.53,0.52,0.6,invert,soft,-0.48148606,-0.27572413,-0.283996656,-0.22184875
